tank,block,treatment,source,date,stocked,larval_period,growthrate,mass_g,hl,svl,tl,hw,phenotype,env_pheno,stage,body_condition
12,Block 6,Drying,Permanent,7/4/2017,4/9/2017,86,0.422616279,1.606,8.922,36.345,57.335,9.232,Metamorph,Terrestrial,Adult,-0.400866474
17,Block 5,Drying,Permanent,8/3/2017,4/9/2017,116,0.302310345,1.655,9.125,35.068,63.047,8.918,Metamorph,Terrestrial,Adult,-0.073231871
20,Block 2,Drying,Temporary,5/25/2017,4/8/2017,47,0.71806383,1.632,9.259,33.749,62.523,9.211,Metamorph,Terrestrial,Adult,0.191566908
9,Block 3,Drying,Permanent,12/12/2017,4/9/2017,247,0.171696356,3.587,9.268,42.409,83.196,10.5,Larva,Aquatic,Larvae,0.257001003
9,Block 3,Drying,Permanent,9/27/2017,4/9/2017,171,0.212122807,1.869,9.375,36.273,57.986,9.755,Metamorph,Terrestrial,Adult,-0.122156457
16,Block 4,Drying,Temporary,7/29/2017,4/8/2017,112,0.338330357,2.583,9.393,37.893,72.298,10.231,Metamorph,Terrestrial,Adult,0.238368166
12,Block 6,Drying,Permanent,7/29/2017,4/9/2017,111,0.342657658,2.305,9.448,38.035,67.471,9.884,Metamorph,Terrestrial,Adult,-0.070615478
4,Block 4,Drying,Permanent,7/23/2017,4/9/2017,105,0.326161905,1.937,9.501,34.247,64.923,9.544,Metamorph,Terrestrial,Adult,0.387905959
1,Block 1,Drying,Temporary,5/28/2017,4/8/2017,50,0.70224,1.49,9.645,35.112,66.03,9.614,Metamorph,Terrestrial,Adult,-0.247832437
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.142747967,1.878,9.756,35.116,70.24,8.535,Larva,Aquatic,Larvae,0.139294785
20,Block 2,Drying,Temporary,7/29/2017,4/8/2017,112,0.329669643,1.769,9.865,36.923,69.15,9.368,Metamorph,Terrestrial,Adult,-0.363982997
6,Block 6,Constant,Temporary,6/13/2017,4/8/2017,66,0.539484848,1.904,9.875,35.606,65.597,9.359,Metamorph,Terrestrial,Adult,0.058379393
13,Block 1,Drying,Permanent,7/19/2017,4/9/2017,101,0.391306931,2.661,9.875,39.522,73.843,10.355,Metamorph,Terrestrial,Adult,-0.039070963
21,Block 3,Drying,Temporary,8/3/2017,4/8/2017,117,0.31425641,2.152,10.004,36.768,65.74,9.664,Metamorph,Terrestrial,Adult,0.052837178
9,Block 3,Drying,Permanent,9/19/2017,4/9/2017,163,0.210533742,1.83,10.054,34.317,64.577,9.563,Metamorph,Terrestrial,Adult,0.265632332
4,Block 4,Drying,Permanent,9/23/2017,4/9/2017,167,0.22991018,2.136,10.099,38.395,70.081,10.316,Metamorph,Terrestrial,Adult,-0.318165562
9,Block 3,Drying,Permanent,6/13/2017,4/9/2017,65,0.555784615,1.685,10.103,36.126,61.964,9.384,Metamorph,Terrestrial,Adult,-0.274081839
2,Block 2,Constant,Permanent,10/10/2017,4/9/2017,184,0.188798913,2.358,10.109,34.739,69.392,10.16,Metamorph,Terrestrial,Adult,0.701554178
20,Block 2,Drying,Temporary,9/19/2017,4/8/2017,164,0.219536585,1.941,10.123,36.004,64.806,10.082,Metamorph,Terrestrial,Adult,0.008537911
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.14054878,1.949,10.123,34.575,69.544,9.153,Larva,Aquatic,Larvae,0.328338105
21,Block 3,Drying,Temporary,6/19/2017,4/8/2017,72,0.504291667,1.757,10.135,36.309,63.839,9.501,Metamorph,Terrestrial,Adult,-0.242011465
20,Block 2,Drying,Temporary,5/31/2017,4/8/2017,53,0.659415094,1.652,10.146,34.949,52.652,9.617,Metamorph,Terrestrial,Adult,-0.050266704
4,Block 4,Drying,Permanent,8/18/2017,4/9/2017,131,0.29980916,2.021,10.152,39.275,71.065,9.868,Metamorph,Terrestrial,Adult,-0.625176878
17,Block 5,Drying,Permanent,9/23/2017,4/9/2017,167,0.218017964,2.173,10.169,36.409,64.188,9.41,Metamorph,Terrestrial,Adult,0.152169067
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.143922764,1.8,10.205,35.405,68.267,8.773,Larva,Aquatic,Larvae,-0.001763477
20,Block 2,Drying,Temporary,5/28/2017,4/8/2017,50,0.68418,1.595,10.263,34.209,62.036,8.969,Metamorph,Terrestrial,Adult,0.054197357
6,Block 6,Constant,Temporary,7/2/2017,4/8/2017,85,0.459752941,1.943,10.289,39.079,68.276,10.04,Metamorph,Terrestrial,Adult,-0.660410721
17,Block 5,Drying,Permanent,9/23/2017,4/9/2017,167,0.219946108,2.222,10.308,36.731,70.042,10.262,Metamorph,Terrestrial,Adult,0.130910381
4,Block 4,Drying,Permanent,7/2/2017,4/9/2017,84,0.412761905,1.962,10.32,34.672,63.582,9.295,Metamorph,Terrestrial,Adult,0.320173221
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.150195122,1.918,10.339,36.948,71.057,9.213,Larva,Aquatic,Larvae,-0.220437864
4,Block 4,Drying,Permanent,9/19/2017,4/9/2017,163,0.227552147,2.561,10.364,37.091,71.436,9.776,Metamorph,Terrestrial,Adult,0.391360297
3,Block 3,Constant,Temporary,6/25/2017,4/8/2017,78,0.502551282,1.853,10.367,39.199,66.777,9.82,Metamorph,Terrestrial,Adult,-0.776594083
23,Block 5,Drying,Temporary,8/3/2017,4/8/2017,117,0.326982906,2.218,10.369,38.257,69.653,9.916,Metamorph,Terrestrial,Adult,-0.206054697
22,Block 4,Constant,Permanent,6/16/2017,4/9/2017,68,0.60175,2.752,10.369,40.919,75.242,10.018,Metamorph,Terrestrial,Adult,-0.252888927
12,Block 6,Drying,Permanent,7/23/2017,4/9/2017,105,0.347990476,2.122,10.388,36.539,66.631,9.694,Metamorph,Terrestrial,Adult,0.072803759
12,Block 6,Drying,Permanent,7/11/2017,4/9/2017,93,0.384548387,2.449,10.389,35.763,66.449,9.72,Metamorph,Terrestrial,Adult,0.569122828
8,Block 2,Constant,Temporary,6/19/2017,4/8/2017,72,0.543708333,2.067,10.399,39.147,68.483,9.98,Metamorph,Terrestrial,Adult,-0.551247959
13,Block 1,Drying,Permanent,5/18/2017,4/9/2017,39,0.890512821,1.885,10.428,34.73,64.06,9.295,Metamorph,Terrestrial,Adult,0.23051793
13,Block 1,Drying,Permanent,5/25/2017,4/9/2017,46,0.76573913,2.293,10.428,35.224,67.206,9.461,Metamorph,Terrestrial,Adult,0.530729759
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.146252033,2.13,10.44,35.978,69.402,9.476,Larva,Aquatic,Larvae,0.203210973
23,Block 5,Drying,Temporary,6/25/2017,4/8/2017,78,0.502384615,2.734,10.441,39.186,71.61,10.16,Metamorph,Terrestrial,Adult,0.107242448
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.180798387,3.665,10.459,44.838,88.355,10.481,Paedomorph,Aquatic,Adult,-0.194993868
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.163360324,2.55,10.463,40.35,69.264,9.502,Larva,Aquatic,Larvae,-0.330736156
2,Block 2,Constant,Permanent,10/3/2017,4/9/2017,177,0.221146893,2.638,10.47,39.143,74.629,10.438,Metamorph,Terrestrial,Adult,0.020624819
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.152237903,2.508,10.501,37.755,74.94,10.728,Larva,Aquatic,Larvae,0.193479031
