tank,block,treatment,source,date,stocked,larval_period,growthrate,mass_g,hl,svl,tl,hw,phenotype,env_pheno,stage,body_condition
12,Block 6,Drying,Permanent,7/4/2017,4/9/2017,86,0.422616279,1.606,8.922,36.345,57.335,9.232,Metamorph,Terrestrial,Adult,-0.400866474
16,Block 4,Drying,Temporary,7/29/2017,4/8/2017,112,0.338330357,2.583,9.393,37.893,72.298,10.231,Metamorph,Terrestrial,Adult,0.238368166
12,Block 6,Drying,Permanent,7/29/2017,4/9/2017,111,0.342657658,2.305,9.448,38.035,67.471,9.884,Metamorph,Terrestrial,Adult,-0.070615478
1,Block 1,Drying,Temporary,5/28/2017,4/8/2017,50,0.70224,1.49,9.645,35.112,66.03,9.614,Metamorph,Terrestrial,Adult,-0.247832437
21,Block 3,Drying,Temporary,8/3/2017,4/8/2017,117,0.31425641,2.152,10.004,36.768,65.74,9.664,Metamorph,Terrestrial,Adult,0.052837178
2,Block 2,Constant,Permanent,10/10/2017,4/9/2017,184,0.188798913,2.358,10.109,34.739,69.392,10.16,Metamorph,Terrestrial,Adult,0.701554178
21,Block 3,Drying,Temporary,6/19/2017,4/8/2017,72,0.504291667,1.757,10.135,36.309,63.839,9.501,Metamorph,Terrestrial,Adult,-0.242011465
3,Block 3,Constant,Temporary,6/25/2017,4/8/2017,78,0.502551282,1.853,10.367,39.199,66.777,9.82,Metamorph,Terrestrial,Adult,-0.776594083
23,Block 5,Drying,Temporary,8/3/2017,4/8/2017,117,0.326982906,2.218,10.369,38.257,69.653,9.916,Metamorph,Terrestrial,Adult,-0.206054697
22,Block 4,Constant,Permanent,6/16/2017,4/9/2017,68,0.60175,2.752,10.369,40.919,75.242,10.018,Metamorph,Terrestrial,Adult,-0.252888927
12,Block 6,Drying,Permanent,7/23/2017,4/9/2017,105,0.347990476,2.122,10.388,36.539,66.631,9.694,Metamorph,Terrestrial,Adult,0.072803759
12,Block 6,Drying,Permanent,7/11/2017,4/9/2017,93,0.384548387,2.449,10.389,35.763,66.449,9.72,Metamorph,Terrestrial,Adult,0.569122828
8,Block 2,Constant,Temporary,6/19/2017,4/8/2017,72,0.543708333,2.067,10.399,39.147,68.483,9.98,Metamorph,Terrestrial,Adult,-0.551247959
23,Block 5,Drying,Temporary,6/25/2017,4/8/2017,78,0.502384615,2.734,10.441,39.186,71.61,10.16,Metamorph,Terrestrial,Adult,0.107242448
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.180798387,3.665,10.459,44.838,88.355,10.481,Paedomorph,Aquatic,Adult,-0.194993868
2,Block 2,Constant,Permanent,10/3/2017,4/9/2017,177,0.221146893,2.638,10.47,39.143,74.629,10.438,Metamorph,Terrestrial,Adult,0.020624819
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.152237903,2.508,10.501,37.755,74.94,10.728,Larva,Aquatic,Larvae,0.193479031
23,Block 5,Drying,Temporary,5/28/2017,4/8/2017,50,0.73128,2.064,10.54,36.564,65.979,9.542,Metamorph,Terrestrial,Adult,0.009348892
10,Block 4,Constant,Temporary,5/28/2017,4/8/2017,50,0.78414,2.722,10.562,39.207,74.092,10.387,Metamorph,Terrestrial,Adult,0.09066036
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.551652174,2.272,10.596,38.064,73.876,10.219,Metamorph,Terrestrial,Adult,-0.109943124
19,Block 1,Constant,Permanent,6/7/2017,4/9/2017,59,0.719576271,2.641,10.674,42.455,75.054,10.283,Metamorph,Terrestrial,Adult,-0.699035952
12,Block 6,Drying,Permanent,7/8/2017,4/9/2017,90,0.407522222,2.17,10.71,36.677,67.03,9.928,Metamorph,Terrestrial,Adult,0.090692893
11,Block 5,Constant,Temporary,6/3/2017,4/8/2017,56,0.711303571,2.402,10.788,39.833,70.097,9.968,Metamorph,Terrestrial,Adult,-0.365929508
16,Block 4,Drying,Temporary,6/19/2017,4/8/2017,72,0.524013889,2.791,10.81,37.729,74.681,10.033,Metamorph,Terrestrial,Adult,0.482152093
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.169717742,3.362,10.83,42.09,85.316,10.359,Larva,Aquatic,Larvae,0.101605105
12,Block 6,Drying,Permanent,12/12/2017,4/9/2017,247,0.185275304,3.951,10.834,45.763,86.469,10.484,Paedomorph,Aquatic,Adult,-0.110823944
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.183158537,3.923,10.899,45.057,87.433,10.913,Larva,Aquatic,Larvae,0.015221498
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.160229839,2.738,10.932,39.737,77.471,10.404,Larva,Aquatic,Larvae,-0.008982819
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.163459677,2.682,10.943,40.538,77.531,10.377,Larva,Aquatic,Larvae,-0.239756755
11,Block 5,Constant,Temporary,6/3/2017,4/8/2017,56,0.663785714,2.158,10.994,37.172,71.059,9.655,Metamorph,Terrestrial,Adult,-0.029313472
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.163431452,2.519,10.999,40.531,77.507,10.431,Larva,Aquatic,Larvae,-0.401229393
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.17297561,3.338,11.032,42.552,84.355,9.653,Paedomorph,Aquatic,Adult,-0.023200835
24,Block 6,Constant,Permanent,5/18/2017,4/9/2017,39,0.925615385,1.884,11.045,36.099,53.346,9.508,Metamorph,Terrestrial,Adult,-0.069190583
11,Block 5,Constant,Temporary,9/19/2017,4/8/2017,164,0.249670732,2.659,11.084,40.946,76.947,10.04,Metamorph,Terrestrial,Adult,-0.351780184
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.172350806,3.317,11.185,42.743,80.217,10.495,Paedomorph,Aquatic,Adult,-0.085876019
21,Block 3,Drying,Temporary,10/10/2017,4/8/2017,185,0.227356757,3.192,11.189,42.061,79.877,11.161,Metamorph,Terrestrial,Adult,-0.062067249
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.165243902,3.439,11.239,40.65,84.038,10.247,Paedomorph,Aquatic,Adult,0.492805441
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.175634146,3.902,11.24,43.206,87.907,10.251,Paedomorph,Aquatic,Adult,0.398099846
1,Block 1,Drying,Temporary,5/21/2017,4/8/2017,43,0.822232558,2.135,11.294,35.356,68.398,9.927,Metamorph,Terrestrial,Adult,0.343928062
12,Block 6,Drying,Permanent,7/8/2017,4/9/2017,90,0.433166667,2.661,11.312,38.985,72.228,9.582,Metamorph,Terrestrial,Adult,0.078099578
14,Block 2,Drying,Permanent,6/19/2017,4/9/2017,71,0.571295775,2.868,11.328,40.562,75.906,10.458,Metamorph,Terrestrial,Adult,-0.058993428
14,Block 2,Drying,Permanent,7/11/2017,4/9/2017,93,0.486290323,3.111,11.377,45.225,76.749,10.744,Metamorph,Terrestrial,Adult,-0.833435208
