site,reach,D50,gap_fraction,count,lux,tn,turbidity,depth_cm_mean,depth,S,total_biomass_g
Adena,Lit,40.66666667,11.08433333,90,0.102704167,-0.805660118,2.88,15.25,-0.199425695,3,1011
Adena,Unlit,34.2,11.43033333,134,0.009375,-0.774786253,3.53,14.45,-0.304044835,3,481
Adena,Lit,40.66666667,9.037666667,82,0.048275,-0.529842755,1.52,12.66666667,-0.537258334,4,1065.4
Adena,Unlit,34.2,13.26666667,100,0.046866667,-0.180480594,1.227333333,13.77777778,-0.391953973,3,912.2
Adena,Lit,40.66666667,85.23466667,19,1.0790125,-0.134982266,5.956666667,8.75,-1.049456207,2,120.18
Adena,Unlit,34.2,84.449,65,0,0.01613718,7.783333333,16.66666667,-0.014162634,3,395.7
Adena,Lit,40.66666667,86.33133333,30,1.076927778,-0.401959954,1.22,8.75,-1.049456207,3,244.8
Adena,Unlit,34.2,85.55433333,65,0.546666667,-0.359711507,1.623333333,16.66666667,-0.014162634,3,584.5
Bill Moose,Lit,35.33333333,16.94766667,116,1.385008333,-0.743262412,4.786666667,15.7,-0.140577429,3,645.4
Bill Moose,Unlit,41.66666667,9.811,77,0.015033333,-0.683952091,0.883333333,23.05,0.82061092,3,336.8
Bill Moose,Lit,35.33333333,20.44733333,347,1.736755556,-0.453470561,1.307,10.44444444,-0.827867056,4,945.8
Bill Moose,Unlit,41.66666667,10.31133333,211,0.007415814,-0.427471517,1.117333333,16.77777778,0.000367802,4,393.4
Bill Moose,Lit,35.33333333,94.0345,93,1.327933333,-0.2129794,5.873333333,11.75,-0.657134432,3,484
Bill Moose,Unlit,41.66666667,83.501,23,0,-0.372223547,4.333333333,13.58333333,-0.417382236,2,92
Bill Moose,Lit,35.33333333,89.77866667,20,2.606833333,-0.007099466,4.32,11.75,-0.657134432,3,50.7
Bill Moose,Unlit,41.66666667,69.37633333,15,0.38665,0.001025236,2.143333333,13.58333333,-0.417382236,4,40.9
Cosgray,Lit,13.33333333,14.102,5,1.234995833,-0.85977063,1.173333333,17.95,0.153663903,2,149
Cosgray,Unlit,37.53333333,8.631666667,6,0.057045833,-0.865579791,1.743333333,11.05,-0.74867618,1,130.7
Cosgray,Lit,13.33333333,15.342,6,1.2197375,-0.575341083,1.047666667,32.11111111,2.005567984,3,74.7
Cosgray,Unlit,37.53333333,6.053666667,8,0.024816667,-0.082984177,1.529333333,21.55555556,0.625176554,1,141.7
Cosgray,Lit,13.33333333,77.88366667,10,2.361291667,-0.230853743,1.366666667,16,-0.101345251,3,48
Cosgray,Unlit,37.53333333,79.998,3,0.218629167,-0.076484416,2.206666667,15.5,-0.166732214,2,28.2
Cosgray,Lit,13.33333333,77.88366667,17,1.587,0.204142771,2.666666667,16,-0.101345251,3,279.5
Cosgray,Unlit,37.53333333,79.998,10,0.229227778,0.350387397,1.766666667,15.5,-0.166732214,2,120.8
Dublin Rec,Lit,30.06666667,11.98666667,75,0.574383333,-0.682002163,26.42333333,19.25,0.323670005,7,1053.7
Dublin Rec,Unlit,23.53333333,20.91,130,0.061104545,-0.443948411,2.5,13.45,-0.43481876,8,1094.7
Dublin Rec,Lit,30.06666667,12.09366667,125,0.745116667,-0.373848488,2.476666667,14.875,-0.248465917,7,1030.1
Dublin Rec,Unlit,23.53333333,14.902,144,0.143675,-0.450220681,4.403333333,14.45,-0.304044835,7,707.9
