tank,block,initial_dens,date,stocked,larval_period,photo,mass_g,hl,svl,tl,hw,phenotype,env_pheno
17,Block 3,3,6/22/2017,1/21/2017,152,DSC_7026,5.224,11.936,49.494,95.727,12.184,Metamorph,Terrestrial
17,Block 3,3,9/23/2017,1/21/2017,245,DSC_7227,6.447,13.938,52.644,98.425,12.554,Metamorph,Terrestrial
17,Block 3,3,12/15/2017,1/21/2017,328,DSC_8058,10.978,16.116,58.981,120.124,14.026,Paedomorph,Aquatic
13,Block 2,3,7/2/2017,1/21/2017,162,DSC_7067,5.445,13.36,48.849,96.295,11.959,Metamorph,Terrestrial
13,Block 2,3,9/19/2017,1/21/2017,241,DSC_7208,7.77,13.754,52.712,115.674,12.743,Metamorph,Terrestrial
13,Block 2,3,12/15/2017,1/21/2017,328,DSC_8037,11.083,14.821,58.735,124.451,12.659,Paedomorph,Aquatic
8,Block 1,3,12/14/2017,1/20/2017,328,DSC_7978,7.672,12.845,53.444,108.277,13.092,Paedomorph,Aquatic
8,Block 1,3,12/14/2017,1/20/2017,328,DSC_7979,8.145,14.341,58.721,120.318,13.426,Paedomorph,Aquatic
31,Block 4,8,6/10/2017,1/24/2017,137,DSC_6964,3.261,11.585,41.754,76.145,10.814,Metamorph,Terrestrial
31,Block 4,8,10/20/2017,1/24/2017,269,DSC_7294,7.24,13.723,52.138,106.682,12.586,Metamorph,Terrestrial
31,Block 4,8,12/15/2017,1/24/2017,325,DSC_8165,9.52,15.255,59.71,118.299,13.331,Paedomorph,Aquatic
15,Block 2,8,6/19/2017,1/21/2017,149,DSC_7006,3.076,11.463,38.477,77.702,10.311,Metamorph,Terrestrial
15,Block 2,8,9/27/2017,1/21/2017,249,DSC_7276,4.278,11.811,44.838,89.166,12.014,Metamorph,Terrestrial
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8038,4.608,12.597,47.349,101.248,11.145,Paedomorph,Aquatic
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8039,4.094,12.043,44.919,90.15,10.674,Paedomorph,Aquatic
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8040,3.782,11.49,45.801,90.882,11.076,Larva,Aquatic
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8041,4.789,11.592,45.034,93.654,11.175,Paedomorph,Aquatic
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8042,4.492,12.329,47.688,95.993,11.389,Larva,Aquatic
15,Block 2,8,12/15/2017,1/21/2017,328,DSC_8043,4.32,11.636,44.584,95.543,11.338,Paedomorph,Aquatic
2,Block 1,8,7/19/2017,1/20/2017,180,DSC_7131,4.244,11.176,44.175,83.109,11.464,Metamorph,Terrestrial
2,Block 1,8,12/14/2017,1/20/2017,328,DSC_7859,7.847,14.867,51.972,109.093,12.715,Paedomorph,Aquatic
39,Block 5,13,5/28/2017,1/24/2017,124,DSC_6893,3.64,12.645,45.717,85.287,11.379,Metamorph,Terrestrial
39,Block 5,13,12/15/2017,1/24/2017,325,DSC_8227,13.96,14.622,62.312,122.156,14.763,Paedomorph,Aquatic
30,Block 4,13,5/28/2017,1/24/2017,124,DSC_6892,2.111,10.821,37.268,69.437,10.106,Metamorph,Terrestrial
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8157,5.602,12.647,49.491,99.489,11.721,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8158,4.738,12.67,46.668,96.186,11.288,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8159,5.28,13.16,50.083,97.748,11.499,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8160,5.813,10.864,49.918,100.807,11.248,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8161,4.442,11.455,46.122,96.542,10.72,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8162,4.98,12.987,46.449,94.09,11.366,Paedomorph,Aquatic
30,Block 4,13,12/15/2017,1/24/2017,325,DSC_8163,6.073,12.809,53.27,105.924,11.325,Paedomorph,Aquatic
