county,1980,1990,2000,2010,2020,pct_chg
Anderson,38381,48024,55062,58458,59120,0.540345483
Andrews,13323,14338,12949,14786,19588,0.470239436
Angelina,64172,69884,80270,86771,90669,0.41290594
Aransas,14260,17892,22452,23158,23649,0.658415147
Archer,7266,7973,8966,9054,9135,0.257225434
Armstrong,1994,2021,2166,1901,2028,0.017051153
Atascosa,25055,30533,38805,44911,51233,1.044821393
Austin,17726,19832,23836,28417,32344,0.824664335
Bailey,8168,7064,6596,7165,7082,-0.132957884
Bandera,7084,10562,17755,20485,23360,2.297571993
Bastrop,24726,38263,58234,74171,90262,2.650489363
Baylor,4919,4385,4135,3726,3754,-0.236836755
Bee,26030,25135,32200,31861,33571,0.289704187
Bell,157820,191088,239890,310235,362093,1.294341655
Bexar,988971,1185394,1398834,1714773,2006193,1.028566055
Blanco,4681,5972,8495,10497,12365,1.641529588
Borden,859,799,715,641,686,-0.201396973
Bosque,13401,15125,17218,18212,19146,0.428699351
Bowie,75301,81665,89156,92565,95897,0.273515624
Brazoria,169587,191707,243116,313166,382874,1.257684846
Brazos,93588,121862,153145,194851,233071,1.490394068
Brewster,7573,8681,8903,9232,9055,0.195695233
Briscoe,2579,1971,1796,1637,1599,-0.379992245
Brooks,8428,8204,7944,7223,7060,-0.162316089
Brown,33057,34371,37689,38106,38874,0.175968781
Burleson,12313,13625,16553,17187,18361,0.491188175
Burnet,17803,22677,34505,42750,49225,1.76498343
Caldwell,23637,26392,32378,38066,43501,0.840377374
Calhoun,19574,19053,20676,21381,22058,0.126903035
Callahan,10992,11859,12885,13544,14027,0.276109898
Cameron,209727,260120,336123,406220,426144,1.031898611
Camp,9275,9904,11568,12401,12936,0.394716981
Carson,6672,6576,6492,6182,5875,-0.119454436
Cass,29430,29982,30412,30464,30243,0.027624873
Castro,10556,9070,8229,8062,7260,-0.312239485
Chambers,18538,20088,26188,35096,44944,1.424425504
Cherokee,38127,41049,46790,50845,53558,0.404726309
Childress,6950,5953,7676,7041,7052,0.014676259
Clay,9582,10024,11064,10752,10317,0.076706324
Cochran,4825,4377,3707,3127,2890,-0.401036269
Coke,3196,3424,3844,3320,3400,0.063829787
Coleman,10439,9710,9180,8895,8041,-0.22971549
Collin,144576,264036,499118,782341,1047901,6.248097886
Collingsworth,4648,3573,3193,3057,2802,-0.397160069
Colorado,18823,18383,20326,20874,22566,0.198852468
Comal,36446,51832,78583,108472,161328,3.426493991
Comanche,12617,13381,13998,13974,13848,0.097566775
Concho,2915,3044,3963,4087,2715,-0.068610635
Cooke,27656,30777,36433,38437,40685,0.471109343
Coryell,56767,64213,75199,75388,75657,0.332763754
Cottle,2947,2247,1883,1505,1346,-0.543264337
Crane,4600,4652,3951,4375,4670,0.015217391
Crockett,4608,4078,4012,3719,3465,-0.248046875
Crosby,8859,7304,7053,6059,5658,-0.361327464
Culberson,3315,3407,2948,2398,2228,-0.327903469
Dallam,6531,5461,6224,6703,6929,0.060940132
Dallas,1556419,1852810,2220848,2368139,2647627,0.701101696
Dawson,16184,14349,14935,13833,12652,-0.218240237
De Witt,18903,18840,19943,20097,20459,0.082314976
Deaf Smith,21165,19153,18515,19372,19572,-0.075265769
Delta,4839,4857,5323,5231,5304,0.096094234
Denton,143126,273525,438791,662614,904005,5.316148009
Dickens,3539,2571,2724,2444,2054,-0.419610059
Dimmit,11367,10433,10160,9996,9426,-0.170757456
Donley,4075,3696,3813,3677,3170,-0.22208589
Duval,12517,12918,13007,11782,10860,-0.132379963
Eastland,19480,18488,18296,18583,18278,-0.061704312
Ector,115374,118934,120694,137130,169394,0.468216409
Edwards,2033,2266,2143,2002,1979,-0.026561731
El Paso,479899,591610,681729,800647,851888,0.775140186
Ellis,59743,85167,112330,149610,191469,2.204877559
Erath,22560,27991,33057,37890,43110,0.910904255
Falls,17946,17712,18522,17866,17432,-0.02864148
Fannin,24285,24804,31334,33915,36727,0.512332716
Fayette,18832,20095,21864,24554,26522,0.408347494
Fisher,5891,4842,4340,3974,3897,-0.338482431
Floyd,9834,8497,7734,6446,5445,-0.446308725
Foard,2158,1794,1594,1336,1102,-0.489341983
Fort Bend,130962,225421,358738,585375,818912,5.253050503
Franklin,6893,7802,9459,10605,10792,0.565646308
Freestone,14830,15818,17902,19816,20732,0.397977073
Frio,13785,13472,16203,17217,18937,0.373739572
Gaines,13150,14123,14473,17526,21258,0.616577947
Galveston,195738,217399,250675,291309,341146,0.742870572
Garza,5336,5143,4904,6461,5978,0.120314843
Gillespie,13532,17204,20902,24837,27617,1.040866095
Glasscock,1304,1447,1407,1226,1363,0.045245399
Goliad,5193,5980,7007,7210,8127,0.564991334
Gonzales,16949,17205,18642,19807,20819,0.228332055
Gray,26386,23967,22578,22535,21900,-0.170014402
Grayson,89796,95021,110939,120877,136052,0.515123168
Gregg,99495,104948,111255,121730,126225,0.268656716
Grimes,13580,18828,23601,26604,29730,1.189248895
Guadalupe,46708,64873,89841,131533,169139,2.621199794
Hale,37592,34671,36581,36273,32864,-0.125771441
Hall,5594,3905,3749,3353,2969,-0.469252771
Hamilton,8297,7733,8239,8517,8637,0.040978667
Hansford,6209,5848,5347,5613,5288,-0.148333065
Hardeman,6368,5283,4718,4139,3873,-0.391802764
Hardin,40721,41320,48162,54635,59592,0.463421822
Harris,2409547,2818199,3414239,4092459,4703708,0.952112991
Harrison,52265,57483,62040,65631,68703,0.31451258
Hartley,3987,3634,5561,6062,5887,0.476548784
Haskell,7725,6820,6062,5899,5572,-0.278705502
Hays,40594,65614,99267,157107,232080,4.717101049
Hemphill,5304,3720,3335,3807,3827,-0.27846908
Henderson,42606,58543,73332,78532,83220,0.953246022
Hidalgo,283323,383545,573216,774773,888958,2.137613254
Hill,25024,27146,32539,35089,37470,0.497362532
Hockley,23230,24199,22670,22935,22603,-0.02699096
Hood,17714,28981,41323,51182,61387,2.465451056
Hopkins,25247,28833,31999,35161,37475,0.484334772
Houston,22299,21375,23135,23732,23439,0.051123369
Howard,33142,32343,33489,35012,36421,0.098937904
Hudspeth,2728,2915,3357,3476,3683,0.350073314
Hunt,55248,64343,76932,86129,98685,0.786218506
Hutchinson,26304,25689,23778,22150,20439,-0.222969891
Irion,1386,1629,1758,1599,1584,0.142857143
Jack,7408,6981,8752,9044,9305,0.256074514
Jackson,13352,13039,14397,14075,14256,0.067705213
Jasper,30781,31102,35552,35710,35353,0.148533186
Jeff Davis,1647,1946,2233,2342,2408,0.462052216
Jefferson,248651,239397,251667,252273,250803,0.008654701
Jim Hogg,5168,5109,5275,5300,5079,-0.017221362
Jim Wells,36498,37679,39361,40838,39759,0.089347361
Johnson,67649,97165,127627,150934,175987,1.601472306
Jones,17268,16490,20754,20202,19745,0.143444522
Karnes,13593,12455,15403,14824,15778,0.160744501
Kaufman,39038,52220,72270,103350,140667,2.603335212
Kendall,10635,14589,23980,33410,47700,3.485190409
Kenedy,543,460,420,416,378,-0.303867403
Kent,1145,1010,833,808,754,-0.341484716
Kerr,28780,36304,43848,49625,53024,0.842390549
Kimble,4063,4122,4484,4607,4581,0.127492001
King,425,354,358,286,275,-0.352941176
Kinney,2279,3119,3387,3598,3594,0.577007459
Kleberg,33358,30274,31590,32061,32158,-0.03597338
Knox,5329,4837,4253,3719,3796,-0.287671233
La Salle,5514,5254,5898,6886,7391,0.340406239
Lamar,42156,43949,48596,49793,50436,0.196413322
Lamb,18669,15072,14663,13977,12412,-0.335154534
Lampasas,12005,13521,17900,19677,21395,0.782174094
Lavaca,19004,18690,19190,19263,20511,0.079299095
Lee,10952,12854,15701,16612,17432,0.591672754
Leon,9594,12665,15395,16801,17649,0.839587242
Liberty,47088,52726,70576,75643,93496,0.985558953
Limestone,20224,20946,22053,23384,23654,0.169600475
Lipscomb,3766,3143,3025,3302,3153,-0.162772172
Live Oak,9606,9556,12233,11531,12208,0.270872371
Llano,10144,11631,17077,19301,21890,1.157925868
Loving,91,107,65,82,96,0.054945055
Lubbock,211651,222636,243109,278831,309880,0.464108367
Lynn,8605,6758,6489,5915,6243,-0.274491575
Madison,10649,10931,12967,13664,14088,0.322941121
Marion,10360,9984,10950,10546,9662,-0.067374517
